"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"463",0,0.75,FALSE,4,6,150,4,52
"464",0.75,0.75,FALSE,4,6,150,5,52
"465",1.5,0.75,FALSE,4,6,150,6,52
"466",0,1.5,FALSE,4,6,150,7,52
"467",0.75,1.5,FALSE,4,6,150,8,52
"468",1.5,1.5,FALSE,4,6,150,9,52
"469",0,0,FALSE,4,6,150,1,53
"470",0.75,0,FALSE,4,6,150,2,53
"471",1.5,0,FALSE,4,6,150,3,53
"472",0,0.75,FALSE,4,6,150,4,53
"473",0.75,0.75,FALSE,4,6,150,5,53
"474",1.5,0.75,FALSE,4,6,150,6,53
"475",0,1.5,FALSE,4,6,150,7,53
"476",0.75,1.5,FALSE,4,6,150,8,53
"477",1.5,1.5,FALSE,4,6,150,9,53
"478",0,0,FALSE,4,6,150,1,54
"479",0.75,0,FALSE,4,6,150,2,54
"480",1.5,0,FALSE,4,6,150,3,54
"481",0,0.75,FALSE,4,6,150,4,54
"482",0.75,0.75,FALSE,4,6,150,5,54
"483",1.5,0.75,FALSE,4,6,150,6,54
"484",0,1.5,FALSE,4,6,150,7,54
"485",0.75,1.5,FALSE,4,6,150,8,54
"486",1.5,1.5,FALSE,4,6,150,9,54
"487",0,0,FALSE,4,6,150,1,55
"488",0.75,0,FALSE,4,6,150,2,55
"489",1.5,0,FALSE,4,6,150,3,55
"490",0,0.75,FALSE,4,6,150,4,55
"491",0.75,0.75,FALSE,4,6,150,5,55
"492",1.5,0.75,FALSE,4,6,150,6,55
"493",0,1.5,FALSE,4,6,150,7,55
"494",0.75,1.5,FALSE,4,6,150,8,55
"495",1.5,1.5,FALSE,4,6,150,9,55
"496",0,0,FALSE,4,6,150,1,56
"497",0.75,0,FALSE,4,6,150,2,56
"498",1.5,0,FALSE,4,6,150,3,56
"499",0,0.75,FALSE,4,6,150,4,56
"500",0.75,0.75,FALSE,4,6,150,5,56
"501",1.5,0.75,FALSE,4,6,150,6,56
"502",0,1.5,FALSE,4,6,150,7,56
"503",0.75,1.5,FALSE,4,6,150,8,56
"504",1.5,1.5,FALSE,4,6,150,9,56
"505",0,0,FALSE,4,6,150,1,57
"506",0.75,0,FALSE,4,6,150,2,57
"507",1.5,0,FALSE,4,6,150,3,57
"508",0,0.75,FALSE,4,6,150,4,57
"509",0.75,0.75,FALSE,4,6,150,5,57
"510",1.5,0.75,FALSE,4,6,150,6,57
"511",0,1.5,FALSE,4,6,150,7,57
"512",0.75,1.5,FALSE,4,6,150,8,57
"513",1.5,1.5,FALSE,4,6,150,9,57
"514",0,0,FALSE,4,6,150,1,58
"515",0.75,0,FALSE,4,6,150,2,58
"516",1.5,0,FALSE,4,6,150,3,58
"517",0,0.75,FALSE,4,6,150,4,58
"518",0.75,0.75,FALSE,4,6,150,5,58
"519",1.5,0.75,FALSE,4,6,150,6,58
"520",0,1.5,FALSE,4,6,150,7,58
"521",0.75,1.5,FALSE,4,6,150,8,58
"522",1.5,1.5,FALSE,4,6,150,9,58
"523",0,0,FALSE,4,6,150,1,59
"524",0.75,0,FALSE,4,6,150,2,59
"525",1.5,0,FALSE,4,6,150,3,59
"526",0,0.75,FALSE,4,6,150,4,59
"527",0.75,0.75,FALSE,4,6,150,5,59
"528",1.5,0.75,FALSE,4,6,150,6,59
